2026-04-20 15:12:29 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-04-20 15:12:29 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-04-20 15:12:29 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-04-20 15:12:29 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-04-20 15:12:29 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-04-20 15:12:29 | INFO     | OpentronsSiLA2Server | Components initialized
2026-04-20 15:12:29 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-04-20 15:12:32 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-04-20 15:12:34 | ERROR    | OpentronsSiLA2Server | Robot not found after 3 retries - server cannot start
2026-04-20 15:12:34 | INFO     | OpentronsSiLA2Server | Shutting down...
2026-04-20 15:12:34 | INFO     | OpentronsSiLA2Server | Server stopped
2026-04-20 15:27:15 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-04-20 15:27:15 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-04-20 15:27:15 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-04-20 15:27:15 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-04-20 15:27:15 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-04-20 15:27:15 | INFO     | OpentronsSiLA2Server | Components initialized
2026-04-20 15:27:15 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-04-20 15:27:17 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-04-20 15:27:20 | ERROR    | OpentronsSiLA2Server | Robot not found after 3 retries - server cannot start
2026-04-20 15:27:20 | INFO     | OpentronsSiLA2Server | Shutting down...
2026-04-20 15:27:20 | INFO     | OpentronsSiLA2Server | Server stopped
2026-04-20 15:36:35 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-04-20 15:36:35 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-04-20 15:36:35 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-04-20 15:36:35 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-04-20 15:36:35 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-04-20 15:36:35 | INFO     | OpentronsSiLA2Server | Components initialized
2026-04-20 15:36:35 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-04-20 15:36:38 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-04-20 15:36:40 | ERROR    | OpentronsSiLA2Server | Robot not found after 3 retries - server cannot start
2026-04-20 15:36:40 | INFO     | OpentronsSiLA2Server | Shutting down...
2026-04-20 15:36:40 | INFO     | OpentronsSiLA2Server | Server stopped
