2026-02-18 14:40:51 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-02-18 14:40:51 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-02-18 14:40:51 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\andre\Desktop\BicoccaLab\v7\Library\HardwareConfig
2026-02-18 14:40:51 | INFO     | OpentronsSiLA2Server | Available configs: ['ELISA_Setup.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-02-18 14:40:51 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-02-18 14:40:51 | INFO     | OpentronsSiLA2Server | Components initialized
2026-02-18 14:40:52 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-02-18 14:40:52 | INFO     | OpentronsSiLA2Server | OpentronsServicer registered
2026-02-18 14:40:52 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50052...
2026-02-18 14:40:52 | INFO     | OpentronsSiLA2Server | ============================================================
2026-02-18 14:40:52 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
2026-02-18 14:40:52 | INFO     | OpentronsSiLA2Server |   gRPC: 0.0.0.0:50052
2026-02-18 14:40:52 | INFO     | OpentronsSiLA2Server |   Robot: 169.254.161.83:31950
2026-02-18 14:40:52 | INFO     | OpentronsSiLA2Server |   Hardware: Standard_Flex_Setup
2026-02-18 14:40:52 | INFO     | OpentronsSiLA2Server | ============================================================
2026-02-18 14:43:33 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-02-18 14:43:33 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-02-18 14:43:33 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\andre\Desktop\BicoccaLab\v7\Library\HardwareConfig
2026-02-18 14:43:33 | INFO     | OpentronsSiLA2Server | Available configs: ['ELISA_Setup.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-02-18 14:43:33 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-02-18 14:43:33 | INFO     | OpentronsSiLA2Server | Components initialized
2026-02-18 14:43:34 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-02-18 14:43:34 | INFO     | OpentronsSiLA2Server | OpentronsServicer registered
2026-02-18 14:43:34 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50052...
2026-02-18 14:43:34 | INFO     | OpentronsSiLA2Server | ============================================================
2026-02-18 14:43:34 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
2026-02-18 14:43:34 | INFO     | OpentronsSiLA2Server |   gRPC: 0.0.0.0:50052
2026-02-18 14:43:34 | INFO     | OpentronsSiLA2Server |   Robot: 169.254.161.83:31950
2026-02-18 14:43:34 | INFO     | OpentronsSiLA2Server |   Hardware: Standard_Flex_Setup
2026-02-18 14:43:34 | INFO     | OpentronsSiLA2Server | ============================================================
2026-02-18 14:44:02 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-02-18 14:44:02 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-02-18 14:44:02 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\andre\Desktop\BicoccaLab\v7\Library\HardwareConfig
2026-02-18 14:44:02 | INFO     | OpentronsSiLA2Server | Available configs: ['ELISA_Setup.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-02-18 14:44:02 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-02-18 14:44:02 | INFO     | OpentronsSiLA2Server | Components initialized
2026-02-18 14:44:03 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-02-18 14:44:03 | INFO     | OpentronsSiLA2Server | OpentronsServicer registered
2026-02-18 14:44:03 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50052...
2026-02-18 14:44:03 | INFO     | OpentronsSiLA2Server | ============================================================
2026-02-18 14:44:03 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
2026-02-18 14:44:03 | INFO     | OpentronsSiLA2Server |   gRPC: 0.0.0.0:50052
2026-02-18 14:44:03 | INFO     | OpentronsSiLA2Server |   Robot: 169.254.161.83:31950
2026-02-18 14:44:03 | INFO     | OpentronsSiLA2Server |   Hardware: Standard_Flex_Setup
2026-02-18 14:44:03 | INFO     | OpentronsSiLA2Server | ============================================================
2026-02-18 14:47:24 | INFO     | OpentronsSiLA2Server | Applying Hardware Config (HAL)...
2026-02-18 14:47:24 | INFO     | OpentronsSiLA2Server | [PLAN] opentrons_flex_96_filtertiprack_1000ul: need 6, available 96
2026-02-18 14:48:04 | INFO     | OpentronsSiLA2Server | Updating tip tracker (status: stopped)...
2026-02-18 14:48:04 | WARNING  | OpentronsSiLA2Server | Run incomplete - reading actual usage from log...
2026-02-18 14:48:04 | WARNING  | OpentronsSiLA2Server | Applying full planned usage for safety
2026-02-18 14:48:04 | INFO     | OpentronsSiLA2Server |   + 6 tips (opentrons_flex_96_filtertiprack_1000ul) [SAFETY]
2026-02-18 15:12:01 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_50ul', 'opentrons_flex_96_filtertiprack_200ul']
2026-02-18 15:12:01 | INFO     | OpentronsSiLA2Server | Applying Hardware Config (HAL)...
2026-02-18 15:12:15 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_50ul', 'opentrons_flex_96_filtertiprack_200ul']
2026-02-18 15:12:16 | INFO     | OpentronsSiLA2Server | Applying Hardware Config (HAL)...
2026-02-18 15:40:19 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-02-18 15:40:19 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-02-18 15:40:19 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\andre\Desktop\BicoccaLab\v7\Library\HardwareConfig
2026-02-18 15:40:19 | INFO     | OpentronsSiLA2Server | Available configs: ['ELISA_Setup.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-02-18 15:40:19 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-02-18 15:40:19 | INFO     | OpentronsSiLA2Server | Components initialized
2026-02-18 15:40:20 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-02-18 15:40:20 | INFO     | OpentronsSiLA2Server | OpentronsServicer registered
2026-02-18 15:40:20 | INFO     | OpentronsSiLA2Server | SiLA2Common adapter registered (Plug & Play enabled)
2026-02-18 15:40:20 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50052...
2026-02-18 15:40:20 | INFO     | OpentronsSiLA2Server | ============================================================
2026-02-18 15:40:20 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
