2026-04-17 14:51:21 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-04-17 14:51:21 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-04-17 14:51:21 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-04-17 14:51:21 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-04-17 14:51:21 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-04-17 14:51:21 | INFO     | OpentronsSiLA2Server | Components initialized
2026-04-17 14:51:21 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-04-17 14:51:23 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-04-17 14:51:25 | ERROR    | OpentronsSiLA2Server | Robot not found after 3 retries - server cannot start
2026-04-17 14:51:25 | INFO     | OpentronsSiLA2Server | Shutting down...
2026-04-17 14:51:25 | INFO     | OpentronsSiLA2Server | Server stopped
2026-04-17 14:52:16 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-04-17 14:52:16 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-04-17 14:52:16 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-04-17 14:52:16 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-04-17 14:52:16 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-04-17 14:52:16 | INFO     | OpentronsSiLA2Server | Components initialized
2026-04-17 14:52:17 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-04-17 14:52:19 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-04-17 14:52:31 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-04-17 14:52:31 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-04-17 14:52:31 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-04-17 14:52:31 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-04-17 14:52:31 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-04-17 14:52:31 | INFO     | OpentronsSiLA2Server | Components initialized
2026-04-17 14:52:31 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-04-17 14:52:33 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-04-17 14:52:36 | ERROR    | OpentronsSiLA2Server | Robot not found after 3 retries - server cannot start
2026-04-17 14:52:36 | INFO     | OpentronsSiLA2Server | Shutting down...
2026-04-17 14:52:36 | INFO     | OpentronsSiLA2Server | Server stopped
2026-04-17 14:54:10 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-04-17 14:54:10 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-04-17 14:54:10 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-04-17 14:54:10 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-04-17 14:54:10 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-04-17 14:54:10 | INFO     | OpentronsSiLA2Server | Components initialized
2026-04-17 14:54:10 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-04-17 14:54:13 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-04-17 14:54:15 | ERROR    | OpentronsSiLA2Server | Robot not found after 3 retries - server cannot start
2026-04-17 14:54:15 | INFO     | OpentronsSiLA2Server | Shutting down...
2026-04-17 14:54:15 | INFO     | OpentronsSiLA2Server | Server stopped
2026-04-17 17:34:35 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-04-17 17:34:35 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-04-17 17:34:35 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-04-17 17:34:35 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-04-17 17:34:35 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-04-17 17:34:35 | INFO     | OpentronsSiLA2Server | Components initialized
2026-04-17 17:34:35 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-04-17 17:34:37 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-04-17 17:34:39 | ERROR    | OpentronsSiLA2Server | Robot not found after 3 retries - server cannot start
2026-04-17 17:34:39 | INFO     | OpentronsSiLA2Server | Shutting down...
2026-04-17 17:34:39 | INFO     | OpentronsSiLA2Server | Server stopped
