2026-03-20 14:51:47 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-20 14:51:47 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-20 14:51:47 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-20 14:51:47 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-20 14:51:47 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-20 14:51:47 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-20 14:52:09 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-03-20 14:52:32 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-03-20 14:52:55 | ERROR    | OpentronsSiLA2Server | Robot not found after 3 retries - server cannot start
2026-03-20 14:52:55 | INFO     | OpentronsSiLA2Server | Shutting down...
2026-03-20 14:52:55 | INFO     | OpentronsSiLA2Server | Server stopped
2026-03-20 14:54:36 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-20 14:54:36 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-20 14:54:36 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-20 14:54:36 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-20 14:54:36 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-20 14:54:36 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-20 14:54:57 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-03-20 14:55:00 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-03-20 14:55:00 | WARNING  | OpentronsSiLA2Server | gRPC servicer not available - server will have no RPC methods
2026-03-20 14:55:00 | INFO     | OpentronsSiLA2Server | SiLA2Common adapter registered (Plug & Play enabled)
2026-03-20 14:55:00 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50057...
2026-03-20 14:55:01 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-20 14:55:01 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
2026-03-20 14:55:01 | INFO     | OpentronsSiLA2Server |   gRPC: 0.0.0.0:50057
2026-03-20 14:55:01 | INFO     | OpentronsSiLA2Server |   Robot: 169.254.161.83:31950
2026-03-20 14:55:01 | INFO     | OpentronsSiLA2Server |   Hardware: Standard_Flex_Setup
2026-03-20 14:55:01 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-20 15:16:25 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-20 15:16:25 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-20 15:16:25 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-20 15:16:25 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-20 15:16:25 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-20 15:16:25 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-20 15:16:25 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-03-20 15:16:25 | WARNING  | OpentronsSiLA2Server | gRPC servicer not available - server will have no RPC methods
2026-03-20 15:16:25 | INFO     | OpentronsSiLA2Server | SiLA2Common adapter registered (Plug & Play enabled)
2026-03-20 15:16:25 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50057...
2026-03-20 15:16:26 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-20 15:16:26 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
2026-03-20 15:16:26 | INFO     | OpentronsSiLA2Server |   gRPC: 0.0.0.0:50057
2026-03-20 15:16:26 | INFO     | OpentronsSiLA2Server |   Robot: 169.254.161.83:31950
2026-03-20 15:16:26 | INFO     | OpentronsSiLA2Server |   Hardware: Standard_Flex_Setup
2026-03-20 15:16:26 | INFO     | OpentronsSiLA2Server | ============================================================
