2026-03-24 11:26:34 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-24 11:26:34 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-24 11:26:34 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-24 11:26:34 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-24 11:26:34 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-24 11:26:34 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-24 11:26:35 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-03-24 11:26:37 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-03-24 11:26:39 | ERROR    | OpentronsSiLA2Server | Robot not found after 3 retries - server cannot start
2026-03-24 11:26:39 | INFO     | OpentronsSiLA2Server | Shutting down...
2026-03-24 11:26:39 | INFO     | OpentronsSiLA2Server | Server stopped
2026-03-24 11:47:30 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-24 11:47:30 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-24 11:47:30 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-24 11:47:30 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-24 11:47:30 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-24 11:47:30 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-24 11:47:30 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-03-24 11:47:30 | WARNING  | OpentronsSiLA2Server | gRPC servicer not available - server will have no RPC methods
2026-03-24 11:47:30 | INFO     | OpentronsSiLA2Server | SiLA2Common adapter registered (Plug & Play enabled)
2026-03-24 11:47:30 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50057...
2026-03-24 11:47:31 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-24 11:47:31 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
2026-03-24 11:47:31 | INFO     | OpentronsSiLA2Server |   gRPC: 0.0.0.0:50057
2026-03-24 11:47:31 | INFO     | OpentronsSiLA2Server |   Robot: 169.254.161.83:31950
2026-03-24 11:47:31 | INFO     | OpentronsSiLA2Server |   Hardware: Standard_Flex_Setup
2026-03-24 11:47:31 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-24 11:47:47 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-24 11:47:47 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-24 11:47:47 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-24 11:47:47 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-24 11:47:47 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-24 11:47:47 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-24 11:47:47 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-03-24 11:47:47 | WARNING  | OpentronsSiLA2Server | gRPC servicer not available - server will have no RPC methods
2026-03-24 11:47:47 | INFO     | OpentronsSiLA2Server | SiLA2Common adapter registered (Plug & Play enabled)
2026-03-24 11:47:47 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50057...
2026-03-24 11:47:48 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-24 11:47:48 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
2026-03-24 11:47:48 | INFO     | OpentronsSiLA2Server |   gRPC: 0.0.0.0:50057
2026-03-24 11:47:48 | INFO     | OpentronsSiLA2Server |   Robot: 169.254.161.83:31950
2026-03-24 11:47:48 | INFO     | OpentronsSiLA2Server |   Hardware: Standard_Flex_Setup
2026-03-24 11:47:48 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-24 14:12:45 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-24 14:12:45 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-24 14:12:45 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-24 14:12:45 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-24 14:12:45 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-24 14:12:45 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-24 14:12:45 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-03-24 14:12:45 | WARNING  | OpentronsSiLA2Server | gRPC servicer not available - server will have no RPC methods
2026-03-24 14:12:45 | INFO     | OpentronsSiLA2Server | SiLA2Common adapter registered (Plug & Play enabled)
2026-03-24 14:12:45 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50057...
2026-03-24 14:12:46 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-24 14:12:46 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
2026-03-24 14:12:46 | INFO     | OpentronsSiLA2Server |   gRPC: 0.0.0.0:50057
2026-03-24 14:12:46 | INFO     | OpentronsSiLA2Server |   Robot: 169.254.161.83:31950
2026-03-24 14:12:46 | INFO     | OpentronsSiLA2Server |   Hardware: Standard_Flex_Setup
2026-03-24 14:12:46 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-24 14:40:27 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-24 14:40:27 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-24 14:40:27 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-24 14:40:27 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-24 14:40:27 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-24 14:40:27 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-24 14:40:27 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-03-24 14:40:27 | WARNING  | OpentronsSiLA2Server | gRPC servicer not available - server will have no RPC methods
2026-03-24 14:40:27 | INFO     | OpentronsSiLA2Server | SiLA2Common adapter registered (Plug & Play enabled)
2026-03-24 14:40:27 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50057...
2026-03-24 14:40:29 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-24 14:40:29 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
2026-03-24 14:40:29 | INFO     | OpentronsSiLA2Server |   gRPC: 0.0.0.0:50057
2026-03-24 14:40:29 | INFO     | OpentronsSiLA2Server |   Robot: 169.254.161.83:31950
2026-03-24 14:40:29 | INFO     | OpentronsSiLA2Server |   Hardware: Standard_Flex_Setup
2026-03-24 14:40:29 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-24 16:54:40 | INFO     | OpentronsSiLA2Server | Applying Hardware Config (HAL)...
2026-03-24 16:54:40 | INFO     | OpentronsSiLA2Server | [PLAN] opentrons_flex_96_filtertiprack_1000ul: need 1, available 49
2026-03-24 16:57:23 | INFO     | OpentronsSiLA2Server | Updating tip tracker (status: succeeded)...
2026-03-24 16:57:23 | INFO     | OpentronsSiLA2Server |   + 1 tips (opentrons_flex_96_filtertiprack_1000ul)
2026-03-24 17:16:16 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_tiprack_1000ul', 'opentrons_flex_96_tiprack_1000ul']
2026-03-24 17:16:25 | INFO     | OpentronsSiLA2Server | Applying Hardware Config (HAL)...
2026-03-24 17:17:19 | INFO     | OpentronsSiLA2Server | Applying Hardware Config (HAL)...
2026-03-24 17:17:48 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_tiprack_1000ul', 'opentrons_flex_96_tiprack_1000ul']
2026-03-24 17:18:01 | INFO     | OpentronsSiLA2Server | Applying Hardware Config (HAL)...
2026-03-24 17:18:17 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-24 17:20:48 | INFO     | OpentronsSiLA2Server | Applying Hardware Config (HAL)...
2026-03-24 17:20:48 | INFO     | OpentronsSiLA2Server | [PLAN] opentrons_flex_96_filtertiprack_1000ul: need 1, available 48
2026-03-24 17:23:10 | INFO     | OpentronsSiLA2Server | Updating tip tracker (status: succeeded)...
2026-03-24 17:23:10 | INFO     | OpentronsSiLA2Server |   + 1 tips (opentrons_flex_96_filtertiprack_1000ul)
